"Neuroepithelial cells","Radial glia","Intermediate progenitors","Mature neurons","Excitatory neurons","Inhibitory neurons","Astrocytes","Microglia","Oligodendrocytes","OPCs","Endothelial","Dividing"
NA,NA,NA,"N28178","Herc6",NA,"Mapkapk3",NA,NA,NA,NA,NA
NA,NA,NA,"Gpr12","Vipr1",NA,"Marchf2",NA,NA,NA,NA,NA
NA,NA,NA,"Pacsin1","Tiam2",NA,"Mfap3l",NA,NA,NA,NA,NA
NA,NA,NA,"Bcl11b","Gm5415",NA,"Mmgt2",NA,NA,NA,NA,NA
NA,NA,NA,"Gad1","Tom1l1",NA,"Mpv17l2",NA,NA,NA,NA,NA
NA,NA,NA,"Sema3a","Podn",NA,"Muc1",NA,NA,NA,NA,NA
NA,NA,NA,"Ppfia2","Ier5",NA,"Nadk2",NA,NA,NA,NA,NA
NA,NA,NA,"Slc8a1","Tox",NA,"Naa80",NA,NA,NA,NA,NA
NA,NA,NA,"Gpr22","Rap2b",NA,"Nat8",NA,NA,NA,NA,NA
NA,NA,NA,"D10bwg1379e","Rgs6",NA,"Ncan",NA,NA,NA,NA,NA
NA,NA,NA,"Runx1t1","Fras1",NA,"Nckap5",NA,NA,NA,NA,NA
NA,NA,NA,"Gfra2","Nrg1",NA,"Nim1k",NA,NA,NA,NA,NA
NA,NA,NA,"Ptprk","Mapk4",NA,"Nphs1",NA,NA,NA,NA,NA
NA,NA,NA,"Atp2b3","Slc25a16",NA,"Ntsr2",NA,NA,NA,NA,NA
NA,NA,NA,"Rspo2","Btg3",NA,"Oat",NA,NA,NA,NA,NA
NA,NA,NA,"Rasgef1a","Egr2",NA,"Pag1",NA,NA,NA,NA,NA
NA,NA,NA,"Egr3","Extl1",NA,"Paqr7",NA,NA,NA,NA,NA
NA,NA,NA,"Aw551984","Ak5",NA,"Paqr8",NA,NA,NA,NA,NA
NA,NA,NA,"Cx3cl1","Pak5",NA,"Pcdhgc3",NA,NA,NA,NA,NA
NA,NA,NA,"Crmp1","Cpne5",NA,"Pced1b",NA,NA,NA,NA,NA
NA,NA,NA,"Scn1a","Siae",NA,"Pdgfrl",NA,NA,NA,NA,NA
NA,NA,NA,"Fbxo7","Kcnc4",NA,"Peli2",NA,NA,NA,NA,NA
NA,NA,NA,"Hpcal4","Cdkn1a",NA,"Pgm2",NA,NA,NA,NA,NA
NA,NA,NA,"Ai848149","Gm1987",NA,"Polr3h",NA,NA,NA,NA,NA
NA,NA,NA,"Celf5","Jph1",NA,"Ppp1r14b",NA,NA,NA,NA,NA
NA,NA,NA,"Cbln4",NA,NA,"Ppp1r3d",NA,NA,NA,NA,NA
NA,NA,NA,"Fabp3",NA,NA,"Ppp1r3g",NA,NA,NA,NA,NA
NA,NA,NA,"Pfkp",NA,NA,"Prdx6b",NA,NA,NA,NA,NA
NA,NA,NA,"Tbr1",NA,NA,"Prkd1",NA,NA,NA,NA,NA
NA,NA,NA,"Epha3",NA,NA,"Proca1",NA,NA,NA,NA,NA
NA,NA,NA,"Kalrn",NA,NA,"Hacd2",NA,NA,NA,NA,NA
NA,NA,NA,"Nrxn3",NA,NA,"Rab34",NA,NA,NA,NA,NA
NA,NA,NA,"Dync1i1",NA,NA,"Ranbp3l",NA,NA,NA,NA,NA
NA,NA,NA,"Gpr6",NA,NA,"Rasa2",NA,NA,NA,NA,NA
NA,NA,NA,"Syp",NA,NA,"Rb1",NA,NA,NA,NA,NA
NA,NA,NA,"Rasl10a",NA,NA,"Rbm20",NA,NA,NA,NA,NA
NA,NA,NA,"Ntf3",NA,NA,"Rcan2",NA,NA,NA,NA,NA
NA,NA,NA,"Olfm3",NA,NA,"Relt",NA,NA,NA,NA,NA
NA,NA,NA,"Bub1b-pak6",NA,NA,"Rgma",NA,NA,NA,NA,NA
NA,NA,NA,"Hecw1",NA,NA,"Rgs20",NA,NA,NA,NA,NA
NA,NA,NA,"Add2",NA,NA,"Rlbp1",NA,NA,NA,NA,NA
NA,NA,NA,"Prmt8",NA,NA,"Rnf180",NA,NA,NA,NA,NA
NA,NA,NA,"9330121k16Rik",NA,NA,"Rom1",NA,NA,NA,NA,NA
NA,NA,NA,"Adcy1",NA,NA,"Scara3",NA,NA,NA,NA,NA
NA,NA,NA,"Lmo3",NA,NA,"Sdsl",NA,NA,NA,NA,NA
NA,NA,NA,"4930505d03Rik",NA,NA,"Sesn3",NA,NA,NA,NA,NA
NA,NA,NA,"Slc6a17",NA,NA,"Skida1",NA,NA,NA,NA,NA
NA,NA,NA,"Syt16",NA,NA,"Slc12a9",NA,NA,NA,NA,NA
NA,NA,NA,"Unc5d",NA,NA,"Slc13a3",NA,NA,NA,NA,NA
NA,NA,NA,"Itpka",NA,NA,"Slc18b1",NA,NA,NA,NA,NA
NA,NA,NA,"Cdc42",NA,NA,"Slc1a4",NA,NA,NA,NA,NA
NA,NA,NA,"Spock1",NA,NA,"Slc25a20",NA,NA,NA,NA,NA
NA,NA,NA,"Rasgrf1",NA,NA,"Slc25a33",NA,NA,NA,NA,NA
NA,NA,NA,"Diras2",NA,NA,"Slc26a6",NA,NA,NA,NA,NA
